N,P,K,temperature,humidity,ph,rainfall,Soil_OC,Fertilizer_kg_ha,Pest_Index,Irrigation_mm,Yield_t_ha,label
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,1.2496714153011232,252.06522164680115,0.7869624421655831,308.3800461837094,3.61,rice
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,1.1361735698828814,231.13644312409053,0.8377217409405899,325.09794702116955,3.35,rice
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,0.9647688538100692,219.7963691322228,0.8019127684127341,313.4143620762132,3.12,rice
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,1.1923029856408025,179.60090563193253,0.8221986440997157,319.7874737900929,3.29,rice
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,1.0565846625276665,197.65345434772988,0.833660303134175,285.4930301402343,3.44,rice
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,0.966586304305082,205.08609416820565,0.877304811247579,247.8950244513776,2.76,rice
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,1.1479212815507391,234.26174042803947,0.8518417525457234,254.3833945269815,3.45,rice
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,1.3167434729152907,242.3342002317849,0.8007496325861626,313.6598152412757,4.07,rice
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,1.1430525614065048,226.30412954215268,0.8355183715947161,295.9385420003901,3.63,rice
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,1.0342560043585964,213.9893710813504,0.8369534142195615,334.89158799996306,3.58,rice
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,1.1636582307187535,215.24388399045424,0.8079077972843265,305.8374325644543,3.75,rice
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,1.1534270246429743,237.0677298953305,0.8190942236590479,328.79185297400306,3.45,rice
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,1.1041962271566037,243.2349959348512,0.8116476665712506,228.77816256561948,3.66,rice
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,1.0386719755342202,228.2186450075038,0.6144746319120198,430.6220427493686,3.63,rice
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,1.067508216748697,223.94936778360747,0.7734553786706864,363.43740953662393,3.47,rice
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,0.8437712470759027,200.9881734447808,0.820361915966065,318.86224068992806,3.02,rice
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,1.0487168879665576,207.44920395939107,0.8787072264543362,306.03085159229926,3.55,rice
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,1.2414247332595274,214.00801078061264,0.6600459055322817,414.7010476599992,3.51,rice
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,0.9791975924478789,232.49582683749773,0.7630180224961762,282.28338006829387,3.62,rice
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,1.0387696298664708,209.29461448881003,0.7790064466907796,251.94345892525928,3.65,rice
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,1.3365648768921554,214.62489771968168,0.7986636034093759,293.1495770038001,3.86,rice
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,1.0374223699513463,199.2868729154726,0.752912501187429,324.3952296794407,3.85,rice
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,0.9767528204687924,228.16287957249904,0.8330880216396614,347.6057351577542,3.58,rice
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,0.9875251813786544,214.2816374017285,0.8541739620042073,315.7175549367172,3.47,rice
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,1.2255617275474815,222.25940442517864,0.741710541953197,306.3058764700507,3.72,rice
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,0.9710922589709866,229.8195604840952,0.7691759499832795,231.51067801435025,2.7,rice
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,1.1549006422577697,270.2940450677046,0.8835942110926502,289.84739680235305,3.43,rice
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,1.3075698018345672,228.99364651391943,0.7880715828341798,333.3996319174597,3.67,rice
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,0.8399361310081195,175.00190072959074,0.832218782194577,292.18838162799705,3.46,rice
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,1.1108306250206723,235.11270534755383,0.7236957704196542,365.22267637069433,3.43,rice
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,0.9698293387770602,210.7305526136,0.7835402641967183,230.75395019739847,3.56,rice
92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,1.4052278184508935,228.8593839874416,0.637248604023777,363.6281132107754,3.67,rice
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,1.1486502775262066,181.44844273432247,0.8073229773647299,313.52280796766024,3.38,rice
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,1.17422890710441,252.38896007448963,0.8223447955701354,256.6857340819126,4.37,rice
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,1.2622544912103189,217.83242106078828,0.7864843327942933,294.0569535635161,3.79,rice
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,1.1279156350028976,252.96146178599787,0.7854782473546893,344.8442538390097,3.63,rice
99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,1.3108863595004756,241.21409601754647,0.9088026952916224,289.17309387077603,3.65,rice
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,1.0540329876120225,205.69090870905032,0.8656202979919095,225.38573946413445,3.45,rice
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,0.7671813951101569,190.89445530609828,0.8785524976811736,239.68469295296435,3.33,rice
63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,0.9496861235869124,208.2947768543505,0.8700921699223609,291.7214912600256,3.49,rice
62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,0.9938466579995412,191.58841679672847,0.7561808001350212,268.3105004640442,3.12,rice
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,0.957136828118997,210.7661947070873,0.7921951218440515,393.9997583502505,3.48,rice
83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,1.1184351717611758,258.6466087677323,0.7762447183111078,323.56023759815974,3.37,rice
82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,1.089889630441071,188.53637582433424,0.9409732747075482,231.35677509099528,3.43,rice
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,1.0021478009632572,256.25818862452934,0.7514117626615434,255.11516780532503,3.32,rice
91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,1.138015579160529,215.56533906284812,0.6899931627228862,420.2750819141435,3.4,rice
76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,1.0139361229040214,203.51823927515304,0.7255726407454933,369.6311560579844,3.53,rice
74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,1.1457122226218917,181.0452956139152,0.8232735856337939,288.8568943126908,3.18,rice
79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,1.1243618289568462,208.1631941383445,0.7893804736483993,372.3727380657991,3.34,rice
88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,1.0036959844637263,251.8247516788669,0.8956110055856323,302.30068272866635,3.4,rice
