incentive_id,user_id,eco_points,rank,last_updated
1,1,65629,1,2026-03-02T18:30:14.570631
2,2,606,229,2026-02-10 19:49:57.908742
3,3,791,111,2026-02-10 19:49:57.908742
4,4,447,309,2026-02-10 19:49:57.908742
5,5,794,110,2026-02-10 19:49:57.908742
6,6,710,176,2026-02-10 19:49:57.908742
7,7,849,81,2026-02-10 19:49:57.908742
8,8,945,34,2026-02-10 19:49:57.908742
9,9,899,52,2026-02-10 19:49:57.908742
10,10,998,3,2026-02-10 19:49:57.908742
11,11,705,178,2026-02-10 19:49:57.908742
12,12,154,479,2026-02-10 19:49:57.908742
13,13,738,159,2026-02-10 19:49:57.908742
14,14,354,358,2026-02-10 19:49:57.908742
15,15,977,11,2026-02-10 19:49:57.908742
16,16,608,225,2026-02-10 19:49:57.908742
17,17,262,405,2026-02-10 19:49:57.908742
18,18,464,300,2026-02-10 19:49:57.908742
19,19,194,447,2026-02-10 19:49:57.908742
20,20,763,137,2026-02-10 19:49:57.908742
21,21,156,475,2026-02-10 19:49:57.908742
22,22,126,493,2026-02-10 19:49:57.908742
23,23,830,90,2026-02-10 19:49:57.908742
24,24,500,282,2026-02-10 19:49:57.908742
25,25,153,483,2026-02-10 19:49:57.908742
26,26,228,421,2026-02-10 19:49:57.908742
27,27,320,376,2026-02-10 19:49:57.908742
28,28,744,151,2026-02-10 19:49:57.908742
29,29,610,223,2026-02-10 19:49:57.908742
30,30,300,390,2026-02-10 19:49:57.908742
31,31,859,74,2026-02-10 19:49:57.908742
32,32,895,57,2026-02-10 19:49:57.908742
33,33,487,286,2026-02-10 19:49:57.908742
34,34,160,472,2026-02-10 19:49:57.908742
35,35,178,456,2026-02-10 19:49:57.908742
36,36,824,95,2026-02-10 19:49:57.908742
37,37,383,341,2026-02-10 19:49:57.908742
38,38,903,46,2026-02-10 19:49:57.908742
39,39,878,66,2026-02-10 19:49:57.908742
40,40,714,170,2026-02-10 19:49:57.908742
41,41,118,495,2026-02-10 19:49:57.908742
42,42,973,18,2026-02-10 19:49:57.908742
43,43,366,351,2026-02-10 19:49:57.908742
44,44,7397,2,2026-03-02T17:32:42.338210
45,45,786,119,2026-02-10 19:49:57.908742
46,46,743,153,2026-02-10 19:49:57.908742
47,47,592,238,2026-02-10 19:49:57.908742
48,48,490,285,2026-02-10 19:49:57.908742
49,49,482,289,2026-02-10 19:49:57.908742
50,50,748,147,2026-02-10 19:49:57.908742
51,51,508,279,2026-02-10 19:49:57.908742
52,52,162,470,2026-02-10 19:49:57.908742
53,53,403,331,2026-02-10 19:49:57.908742
54,54,202,438,2026-02-10 19:49:57.908742
55,55,608,225,2026-02-10 19:49:57.908742
56,56,318,380,2026-02-10 19:49:57.908742
57,57,384,340,2026-02-10 19:49:57.908742
58,58,306,386,2026-02-10 19:49:57.908742
59,59,163,469,2026-02-10 19:49:57.908742
60,60,105,497,2026-02-10 19:49:57.908742
61,61,726,165,2026-02-10 19:49:57.908742
62,62,740,156,2026-02-10 19:49:57.908742
63,63,212,429,2026-02-10 19:49:57.908742
64,64,953,28,2026-02-10 19:49:57.908742
65,65,649,204,2026-02-10 19:49:57.908742
66,66,306,386,2026-02-10 19:49:57.908742
67,67,825,93,2026-02-10 19:49:57.908742
68,68,881,63,2026-02-10 19:49:57.908742
69,69,536,262,2026-02-10 19:49:57.908742
70,70,750,146,2026-02-10 19:49:57.908742
71,71,550,255,2026-02-10 19:49:57.908742
72,72,604,230,2026-02-10 19:49:57.908742
73,73,900,49,2026-02-10 19:49:57.908742
74,74,690,186,2026-02-10 19:49:57.908742
75,75,714,170,2026-02-10 19:49:57.908742
76,76,630,215,2026-02-10 19:49:57.908742
77,77,472,295,2026-02-10 19:49:57.908742
78,78,444,311,2026-02-10 19:49:57.908742
79,79,356,356,2026-02-10 19:49:57.908742
80,80,661,199,2026-02-10 19:49:57.908742
81,81,558,253,2026-02-10 19:49:57.908742
82,82,319,377,2026-02-10 19:49:57.908742
83,83,173,465,2026-02-10 19:49:57.908742
84,84,261,406,2026-02-10 19:49:57.908742
85,85,522,272,2026-02-10 19:49:57.908742
86,86,900,49,2026-02-10 19:49:57.908742
87,87,135,487,2026-02-10 19:49:57.908742
88,88,977,11,2026-02-10 19:49:57.908742
89,89,879,65,2026-02-10 19:49:57.908742
90,90,418,321,2026-02-10 19:49:57.908742
91,91,164,468,2026-02-10 19:49:57.908742
92,92,440,313,2026-02-10 19:49:57.908742
93,93,885,61,2026-02-10 19:49:57.908742
94,94,744,151,2026-02-10 19:49:57.908742
95,95,824,95,2026-02-10 19:49:57.908742
96,96,232,418,2026-02-10 19:49:57.908742
97,97,598,234,2026-02-10 19:49:57.908742
98,98,958,26,2026-02-10 19:49:57.908742
99,99,179,455,2026-02-10 19:49:57.908742
100,100,601,233,2026-02-10 19:49:57.908742
101,101,410,325,2026-02-10 19:49:57.908742
102,102,635,210,2026-02-10 19:49:57.908742
103,103,789,117,2026-02-10 19:49:57.908742
104,104,712,173,2026-02-10 19:49:57.908742
105,105,174,462,2026-02-10 19:49:57.908742
106,106,473,294,2026-02-10 19:49:57.908742
107,107,466,299,2026-02-10 19:49:57.908742
108,108,974,15,2026-02-10 19:49:57.908742
109,109,986,6,2026-02-10 19:49:57.908742
110,110,855,78,2026-02-10 19:49:57.908742
111,111,469,297,2026-02-10 19:49:57.908742
112,112,908,44,2026-02-10 19:49:57.908742
113,113,976,13,2026-02-10 19:49:57.908742
114,114,662,198,2026-02-10 19:49:57.908742
115,115,429,317,2026-02-10 19:49:57.908742
116,116,159,473,2026-02-10 19:49:57.908742
117,117,485,287,2026-02-10 19:49:57.908742
118,118,948,32,2026-02-10 19:49:57.908742
119,119,647,207,2026-02-10 19:49:57.908742
120,120,974,15,2026-02-10 19:49:57.908742
121,121,931,37,2026-02-10 19:49:57.908742
122,122,104,498,2026-02-10 19:49:57.908742
123,123,693,185,2026-02-10 19:49:57.908742
124,124,178,456,2026-02-10 19:49:57.908742
125,125,772,129,2026-02-10 19:49:57.908742
126,126,154,479,2026-02-10 19:49:57.908742
127,127,733,162,2026-02-10 19:49:57.908742
128,128,731,163,2026-02-10 19:49:57.908742
129,129,383,341,2026-02-10 19:49:57.908742
130,130,369,350,2026-02-10 19:49:57.908742
131,131,308,385,2026-02-10 19:49:57.908742
132,132,337,366,2026-02-10 19:49:57.908742
133,133,464,300,2026-02-10 19:49:57.908742
134,134,696,184,2026-02-10 19:49:57.908742
135,135,947,33,2026-02-10 19:49:57.908742
136,136,447,309,2026-02-10 19:49:57.908742
137,137,783,121,2026-02-10 19:49:57.908742
138,138,202,438,2026-02-10 19:49:57.908742
139,139,510,277,2026-02-10 19:49:57.908742
140,140,748,147,2026-02-10 19:49:57.908742
141,141,189,449,2026-02-10 19:49:57.908742
